"Key","Event-Id","Investigation_Type","Event_Date","Country","Airport_Code","Injury_Severity","Aircraft_Damage","airport_id","airport","city","state","lat","long"
1095,"20180509X25604","Accident","2018-04-29","United States","FSD","Non-Fatal","Substantial","FSD","Joe Foss ","Sioux Falls","SD","43.58135111","-96.74170028"
1141,"20180419X80338","Accident","2018-04-18","United States","ATL","Non-Fatal","Substantial","ATL","William B Hartsfield-Atlanta Intl","Atlanta","GA","33.64044444","-84.42694444"
1189,"20180409X43710","Accident","2018-04-04","United States","BZN","Non-Fatal","Substantial","BZN","Gallatin ","Bozeman","MT","45.77690139","-111.15300719999999"
1190,"20180409X43710","Accident","2018-04-04","United States","BZN","Non-Fatal","Substantial","BZN","Gallatin ","Bozeman","MT","45.77690139","-111.15300719999999"
1191,"20180404X13226","Accident","2018-04-04","United States","DAB","Fatal(2)","Destroyed","DAB","Daytona Beach International","Daytona Beach","FL","29.17991667","-81.05805556"
1236,"20180322X42204","Accident","2018-03-21","United States","MIA","Non-Fatal",NULL,"MIA","Miami International","Miami","FL","25.79325","-80.29055556"
1248,"20180316X61620","Accident","2018-03-16","United States","MMH","Non-Fatal","Substantial","MMH","Mammoth Yosemite","Mammoth Lakes","CA","37.62404861","-118.8377722"
1268,"20180312X43551","Accident","2018-03-11","United States","CID","Non-Fatal","Substantial","CID","Eastern Iowa ","Cedar Rapids","IA","41.88458833","-91.71087222"
1378,"20180213X91052","Accident","2018-02-07","United States","FAR","Non-Fatal","Substantial","FAR","Hector International","Fargo","ND","46.91934889","-96.81498889"
1398,"20180130X82722","Accident","2018-01-30","United States","SNA","Fatal(3)","Destroyed","SNA","John Wayne /Orange Co","Santa Ana","CA","33.67565861","-117.86822250000002"
1450,"20180117X85029","Accident","2018-01-17","United States","RNO","Non-Fatal","Substantial","RNO","Reno/Tahoe International","Reno","NV","39.49857611","-119.76806470000001"
1477,"20180111X85842","Accident","2018-01-10","United States","RKS","Non-Fatal","Substantial","RKS","Rock Springs-Sweetwater County","Rock Springs","WY","41.5942175","-109.0651928"
1502,"20171227X25339","Accident","2017-12-26","United States","SNA","Non-Fatal","Substantial","SNA","John Wayne /Orange Co","Santa Ana","CA","33.67565861","-117.86822250000002"
1584,"20171212X50255","Accident","2017-12-03","United States","MIA","Unavailable","Substantial","MIA","Miami International","Miami","FL","25.79325","-80.29055556"
1585,"20171212X50255","Accident","2017-12-03","United States","MIA","Unavailable","Minor","MIA","Miami International","Miami","FL","25.79325","-80.29055556"
1608,"20171128X93434","Accident","2017-11-27","United States","JFK","Unavailable","Substantial","JFK","John F Kennedy Intl","New York","NY","40.63975111","-73.77892556"
1609,"20171128X93434","Accident","2017-11-27","United States","JFK","Unavailable","Substantial","JFK","John F Kennedy Intl","New York","NY","40.63975111","-73.77892556"
1611,"20171211X54419","Accident","2017-11-26","United States","DAB","Non-Fatal","Substantial","DAB","Daytona Beach International","Daytona Beach","FL","29.17991667","-81.05805556"
1618,"20171127X95417","Accident","2017-11-25","United States","PIE","Non-Fatal","Substantial","PIE","St. Petersburg-Clearwater International","St. Petersburg","FL","27.91076333","-82.68743944"
1644,"20180109X22437","Accident","2017-11-19","United States","LAX","Non-Fatal",NULL,"LAX","Los Angeles International","Los Angeles","CA","33.94253611","-118.40807439999999"
1655,"20171116X53956","Accident","2017-11-16","United States","MLB","Non-Fatal","Substantial","MLB","Melbourne International ","Melbourne","FL","28.10275","-80.64580556"
1658,"20171117X01501","Accident","2017-11-15","United States","RKS","Non-Fatal","Substantial","RKS","Rock Springs-Sweetwater County","Rock Springs","WY","41.5942175","-109.0651928"
1664,"20171112X54939","Accident","2017-11-12","United States","TUS","Non-Fatal","Substantial","TUS","Tucson International","Tucson","AZ","32.11608333","-110.94102779999999"
1671,"20171111X83107","Accident","2017-11-10","United States","ECP","Non-Fatal","Substantial","ECP","Florida Beach","Beaches","FL","30.448674","-84.550781"
1712,"20171030X43813","Accident","2017-10-27","United States","TLH","Non-Fatal","Substantial","TLH","Tallahassee Regional","Tallahassee","FL","30.39652778","-84.35033333"
1716,"20171026X85022","Accident","2017-10-26","United States","LWS","Non-Fatal","Substantial","LWS","Lewiston-Nez Perce County","Lewiston","ID","46.37449806","-117.01539440000002"
1717,"20171026X33444","Accident","2017-10-26","United States","TRI","Non-Fatal","Substantial","TRI","Tri-Cities Regional","Bristol","TN","36.47521417","-82.40742056"
1726,"20171026X14440","Accident","2017-10-23","United States","EGE","Non-Fatal","Substantial","EGE","Eagle County Regional","Eagle","CO","39.64256778","-106.91769529999999"
1735,"20171022X92050","Accident","2017-10-21","United States","EWN","Non-Fatal","Substantial","EWN","Craven County Regional","New Bern","NC","35.07297222","-77.04294444"
1811,"20171002X95003","Accident","2017-09-30","United States","DCA","Non-Fatal","Substantial","DCA","Ronald Reagan Washington National","Arlington","VA","38.85208333","-77.03772222"
1812,"20171002X95003","Accident","2017-09-30","United States","DCA","Non-Fatal","Minor","DCA","Ronald Reagan Washington National","Arlington","VA","38.85208333","-77.03772222"
1814,"20180724X40933","Accident","2017-09-29","United States","SJC","Non-Fatal","Substantial","SJC","San Jose International","San Jose","CA","37.36186194","-121.92900890000001"
1841,"20170924X32511","Accident","2017-09-24","United States","SBA","Non-Fatal","Substantial","SBA","Santa Barbara Municipal","Santa Barbara","CA","34.42621194","-119.8403733"
1855,"20170924X04658","Accident","2017-09-21","United States","FAY","Non-Fatal","Substantial","FAY","Fayetteville Municipal","Fayetteville","NC","34.99147222","-78.88"
1862,"20170920X73238","Accident","2017-09-20","United States","LGB","Non-Fatal","Substantial","LGB","Long Beach (Daugherty )","Long Beach","CA","33.81772222","-118.1516111"
1900,"20170920X64035","Accident","2017-09-13","United States","CLT","Non-Fatal","Substantial","CLT","Charlotte/Douglas International","Charlotte","NC","35.21401111","-80.94312583"
1906,"20170913X72254","Accident","2017-09-12","United States","LAX","Non-Fatal","Substantial","LAX","Los Angeles International","Los Angeles","CA","33.94253611","-118.40807439999999"
1907,"20170913X72254","Accident","2017-09-12","United States","LAX","Non-Fatal","Minor","LAX","Los Angeles International","Los Angeles","CA","33.94253611","-118.40807439999999"
1911,"20170912X61627","Accident","2017-09-12","United States","SBN","Non-Fatal","Substantial","SBN","South Bend Regional","South Bend","IN","41.70895361","-86.31847417"
1979,"20170828X92641","Incident","2017-08-28","United States","SJC","Incident","Minor","SJC","San Jose International","San Jose","CA","37.36186194","-121.92900890000001"
1987,"20170828X12105","Accident","2017-08-27","United States","COD","Non-Fatal","Substantial","COD","Yellowstone Regional","Cody","WY","44.52019417","-109.02379609999998"
1993,"20170927X10647","Accident","2017-08-26","United States","RDD","Non-Fatal","Substantial","RDD","Redding Municipal","Redding","CA","40.50898361","-122.2934019"
2000,"20170824X33853","Accident","2017-08-24","United States","LMT","Non-Fatal","Substantial","LMT","Klamath Falls International","Klamath Falls","OR","42.15614361","-121.7332081"
2055,"20170816X35104","Accident","2017-08-15","United States","JFK","Non-Fatal","Minor","JFK","John F Kennedy Intl","New York","NY","40.63975111","-73.77892556"
2056,"20170816X35104","Accident","2017-08-15","United States","JFK","Non-Fatal","Minor","JFK","John F Kennedy Intl","New York","NY","40.63975111","-73.77892556"
2092,"20170806X05027","Accident","2017-08-05","United States","PIH","Non-Fatal","Substantial","PIH","Pocatello Regional","Pocatello","ID","42.91130556","-112.59586110000001"
2112,"20170803X53614","Accident","2017-08-03","United States","COS","Non-Fatal","Substantial","COS","City of Colorado Springs Muni","Colorado Springs","CO","38.80580556","-104.70025"
2169,"20170726X33801","Accident","2017-07-26","United States","SNA","Non-Fatal","Substantial","SNA","John Wayne /Orange Co","Santa Ana","CA","33.67565861","-117.86822250000002"
2209,"20170722X31728","Accident","2017-07-21","United States","BZN","Non-Fatal","Substantial","BZN","Gallatin ","Bozeman","MT","45.77690139","-111.15300719999999"
2241,"20170718X14913","Accident","2017-07-16","United States","ABQ","Non-Fatal","Substantial","ABQ","Albuquerque International","Albuquerque","NM","35.04022222","-106.6091944"
2276,"20170711X13833","Accident","2017-07-11","United States","AVP","Non-Fatal","Substantial","AVP","Wilkes-Barre/Scranton Intl","Wilkes-Barre/Scranton","PA","41.33814944","-75.72426750000001"
2297,"20170719X50618","Accident","2017-07-07","United States","SAT","Non-Fatal","Substantial","SAT","San Antonio International","San Antonio","TX","29.53369444","-98.46977778"
2307,"20170709X81141","Incident","2017-07-07","United States","SFO","Incident",NULL,"SFO","San Francisco International","San Francisco","CA","37.61900194","-122.3748433"
2352,"20170701X65249","Accident","2017-07-01","United States","MMH","Non-Fatal","Substantial","MMH","Mammoth Yosemite","Mammoth Lakes","CA","37.62404861","-118.8377722"
2362,"20170630X62434","Accident","2017-06-30","United States","SNA","Non-Fatal","Substantial","SNA","John Wayne /Orange Co","Santa Ana","CA","33.67565861","-117.86822250000002"
